station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7098,Riverdale Park South (Broadview Ave),43.667819,-79.35347,15,5,10
7099,Cherry St / Mill St,43.651248,-79.357848,15,4,11
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,19,14,4
7101,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,27,12,15
7102,Nelson St / Duncan St,43.648711,-79.389728,31,16,13
7103,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,15,5,10
7104,King St E / River St,43.657071,-79.356598,15,9,5
7105,Queen St E / Sackville St,43.6561111,-79.36138889,15,5,10
7106,Mill St / Tannery Rd,43.652219,-79.354455,15,6,9
7107,Cherry St / Distillery Ln,43.650279,-79.356832,15,10,5
7108,Front St E / Cherry St,43.652686,-79.358395,15,6,9
7109,Seaton St / Dundas St E - SMART,43.658777,-79.369596,32,20,12
7110,Queen St E / Berkeley St,43.6552778,-79.36583333,15,6,9
7111,King St W / Douro St,43.640885,-79.416379,11,7,4
7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19,8,11
7113,Parliament St / Aberdeen Ave,43.665278,-79.368333,15,10,5
7114,Carlton St / Parliament St,43.664524,-79.36793,15,7,8
7115,Howard St / Sherbourne St,43.6712581,-79.376367,15,10,5
7116,Parliament St / Bloor St E,43.671827,-79.371849,15,7,7
7117,Castle Frank Station,43.674083,-79.368579,15,6,9
7118,King St W / Bay St (East Side),43.648575,-79.380042,19,6,12
7119,Sumach St / Carlton St. (Riverdale Farm),43.665867,-79.362506,15,15,0
7120,Gerrard St E / River St,43.663993,-79.358534,11,3,7
7121,Jarvis St / Dundas St E,43.657266,-79.374756,27,8,19
7122,Niagara St / Tecumseth St,43.641389,-79.404444,15,3,12
7123,424 Wellington St W - SMART,43.643834,-79.396649,15,10,4
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,19,14,5
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,17,5,12
7127,Bay St / Davenport Rd,43.672829,-79.390592,15,9,5
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,15,14,1
7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,11,6,5
7130,Davenport Rd / Bedford Rd,43.6743985,-79.3986601,15,3,12
